ym,date,n_universe,top50_ff_mcap,total_ff_mcap,top10_ff_mcap,weight_top10_of_top50,weight_top10_of_total,rho_top50_over_total,top10
2016-07,2016-07-29,65,146367315219.92194,147631687674.1792,91019357057.69481,0.6218557532529383,0.6165299502541289,0.9914356296119319,"AKBNK,GARAN,BIMAS,SAHOL,TCELL,TUPRS,EREGL,KCHOL,ISCTR,EKGYO"
2016-08,2016-08-31,65,147619866335.02414,148904834069.80087,90819536976.37198,0.6152257093246278,0.6099166460492429,0.9913705438590772,"AKBNK,GARAN,BIMAS,SAHOL,TCELL,EREGL,KCHOL,TUPRS,ISCTR,EKGYO"
2016-09,2016-09-30,65,148323026664.21832,149691202330.14438,91301655406.48106,0.6155595490454404,0.6099333426764454,0.9908600128489279,"AKBNK,GARAN,BIMAS,SAHOL,TCELL,KCHOL,TUPRS,EREGL,ISCTR,EKGYO"
2016-10,2016-10-31,65,152715904354.2115,154130290616.3694,94524534709.8667,0.6189567164571486,0.6132768213948189,0.9908234373885773,"AKBNK,GARAN,BIMAS,SAHOL,TUPRS,TCELL,KCHOL,EREGL,ISCTR,EKGYO"
2016-11,2016-11-30,65,143855519790.83307,145232738856.13803,89587006151.71721,0.6227568207461024,0.6168513164270671,0.9905171583476837,"AKBNK,GARAN,BIMAS,TUPRS,EREGL,SAHOL,TCELL,KCHOL,ISCTR,EKGYO"
2016-12,2016-12-30,65,151700483813.82718,153214768739.5555,94311791592.99626,0.6216973685379897,0.6155528763243028,0.9901165864218846,"AKBNK,GARAN,BIMAS,TUPRS,EREGL,SAHOL,KCHOL,TCELL,ISCTR,EKGYO"
2017-01,2017-01-31,65,168139620270.92694,169803793776.87802,105229546690.90807,0.6258462254247361,0.6197125773831623,0.9901994327162219,"AKBNK,GARAN,TUPRS,BIMAS,EREGL,SAHOL,TCELL,KCHOL,ISCTR,HALKB"
2017-02,2017-02-28,65,170582406394.1686,172262488668.10458,107620877740.93344,0.6309025650174699,0.6247493495132588,0.9902469638809587,"AKBNK,GARAN,TUPRS,EREGL,BIMAS,TCELL,SAHOL,ISCTR,KCHOL,HALKB"
2017-03,2017-03-31,65,173054548617.25516,174682032050.94116,109125749477.97778,0.6305858490858351,0.6247107856299399,0.9906831663533008,"GARAN,AKBNK,TUPRS,BIMAS,EREGL,ISCTR,TCELL,SAHOL,KCHOL,HALKB"
2017-04,2017-04-28,65,184739425106.41412,186407573122.46176,116972776062.9143,0.6331771141733028,0.6275108575447641,0.9910510716485121,"AKBNK,GARAN,TUPRS,EREGL,BIMAS,ISCTR,TCELL,SAHOL,KCHOL,HALKB"
