symbol,date,close,paid_capital,market_cap,ff_market_cap
AEFES,2016-07-29,1.4455,592105263.0,11984210387.59786,3834947324.031315
AEFES,2016-08-31,1.3105,592105263.0,10865131801.92023,3476842176.614474
AEFES,2016-09-30,1.2977,592105263.0,10758552673.88405,3442736855.642896
AEFES,2016-10-31,1.3505,592105263.0,11196710432.98191,3582947338.554211
AEFES,2016-11-30,1.2877,592105263.0,10675658298.45642,3416210655.506054
AEFES,2016-12-30,1.2591,592105263.0,10438815289.77549,3340420892.728157
AEFES,2017-01-31,1.5141,592105263.0,12552632027.34047,4016842248.74895
AEFES,2017-02-28,1.4141,592105263.0,11723683755.65953,3751578801.81105
AEFES,2017-03-31,1.4148,592105263.0,11729604943.81167,3753473582.019734
AEFES,2017-04-28,1.4298,592105263.0,11853947636.30428,3793263243.61737
AEFES,2017-05-31,1.4971,592105263.0,12268420642.79358,3925894605.693946
AEFES,2017-06-30,1.578,592105263.0,12931579034.26809,4138105290.965789
AEFES,2017-07-31,1.4913,592105263.0,12221052266.92763,3910736725.416842
AEFES,2017-08-31,1.5318,592105263.0,12552632027.34047,4016842248.74895
AEFES,2017-09-29,1.5116,592105263.0,12386842147.13405,3963789487.082896
AEFES,2017-10-31,1.5867,592105263.0,13002631033.39144,4160841930.685261
AEFES,2017-11-30,1.6879,592105263.0,13831579305.07237,4426105377.623158
AEFES,2017-12-29,1.7485,592105263.0,14328947816.34047,4585263301.22895
AEFES,2018-01-31,2.0116,592105263.0,16484210612.26809,5274947395.925789
AEFES,2018-02-28,1.8555,592105263.0,15205263334.53619,4865684267.051581
AEFES,2018-03-30,1.935,592105263.0,15856579349.70642,5074105391.906054
AEFES,2018-04-30,1.9248,592105263.0,15773683844.92763,5047578830.376842
AEFES,2018-05-31,1.8507,592105263.0,14921053079.34047,4774736985.38895
AEFES,2018-06-29,1.7332,592105263.0,13973684432.67023,4471579018.454474
AEFES,2018-07-31,1.5217,592105263.0,12268420642.79358,3916079869.179711
AEFES,2018-08-31,1.5349,592105263.0,12374999770.82977,3950099926.848863
AEFES,2018-09-28,1.5481,592105263.0,12481578898.86595,3995353405.526991
AEFES,2018-10-31,1.3799,592105263.0,11125658433.85856,3561323264.678125
AEFES,2018-11-30,1.5525,592105263.0,12517104898.42763,4016738961.905426
AEFES,2018-12-31,1.5129,592105263.0,12197368643.67023,3914135597.753777
AEFES,2019-01-31,1.6186,592105263.0,13050000538.60856,4187745172.839487
AEFES,2019-02-28,1.4732,592105263.0,11877631259.56167,3813907397.445252
AEFES,2019-03-29,1.2859,592105263.0,10367763290.65214,3331162345.286533
AEFES,2019-04-30,1.4556,592105263.0,11735526131.96381,3771798098.813169
AEFES,2019-05-31,1.4508,592105263.0,11398026312.75,3666745064.811675
AEFES,2019-06-28,1.4991,592105263.0,11776973319.67763,3788652316.940294
AEFES,2019-07-31,1.6159,592105263.0,12694737154.93833,4096591679.898599
AEFES,2019-08-29,1.9279,592105263.0,15146052582.36595,4887631168.329492
AEFES,2019-09-30,1.649,592105263.0,12955262657.52549,4180663259.583476
AEFES,2019-10-31,1.4493,592105263.0,11386183936.44572,3674321556.291034
AEFES,2019-11-29,1.634,592105263.0,12836842282.53619,4142449004.574429
AEFES,2019-12-31,1.7395,592105263.0,13665789424.86595,4409950247.404242
AEFES,2020-01-31,1.8676,592105263.0,14672368823.70642,4749445788.233768
AEFES,2020-02-28,1.6536,592105263.0,12990789786.43833,4229801154.46432
AEFES,2020-03-31,1.2986,592105263.0,10201973410.44572,3321762542.441126
AEFES,2020-04-30,1.3852,592105263.0,10882894237.02549,3543470363.5755
AEFES,2020-05-29,1.3973,592105263.0,10977632118.10856,3574317017.656147
AEFES,2020-06-30,1.6068,592105263.0,12623684026.46381,4110271519.016617
AEFES,2020-07-30,1.5827,592105263.0,11463158253.07237,3732404327.200364
AEFES,2020-08-31,1.5884,592105263.0,11504605440.78619,3760855518.593006
AEFES,2020-09-30,1.6906,592105263.0,12244737019.53619,4002804531.686381
AEFES,2020-10-30,1.5884,592105263.0,11504605440.78619,3780413347.842342
AEFES,2020-11-30,1.7118,592105263.0,12398684523.43833,4074207734.401835
AEFES,2020-12-31,1.895,592105263.0,13725000177.03619,4508662558.156388
AEFES,2021-01-29,2.0307,592105263.0,14707894823.26809,4833014238.925894
AEFES,2021-02-26,1.9309,592105263.0,13985526808.97451,4595644109.429024
AEFES,2021-03-31,1.7233,592105263.0,12481578898.86595,4100198668.277465
AEFES,2021-04-30,1.9064,592105263.0,13807894552.46381,4537274149.939608
AEFES,2021-05-31,2.0279,592105263.0,13535526673.57237,4447774064.935881
AEFES,2021-06-30,1.9747,592105263.0,13180263289.90214,4331034517.061843
AEFES,2021-07-30,1.9711,592105263.0,13156578537.29358,4323251707.35467
AEFES,2021-08-31,1.9463,592105263.0,12990789786.43833,4268773523.823635
AEFES,2021-09-30,1.8984,592105263.0,12671052402.32977,4163707819.405562
AEFES,2021-10-28,1.9694,592105263.0,13144737290.34047,4319360673.605878
AEFES,2021-11-30,2.2266,592105263.0,14861842327.17023,4883601388.708138
AEFES,2021-12-31,2.6276,592105263.0,17538158386.97451,5763038845.959824
AEFES,2022-01-31,2.5761,592105263.0,17194737379.60856,5650190702.939373
AEFES,2022-02-28,2.1432,592105263.0,14305263063.73191,4700709442.742306
AEFES,2022-03-31,2.381,592105263.0,15892105349.26809,5222145817.769494
AEFES,2022-04-29,2.6258,592105263.0,17526316010.67023,5759147441.106238
AEFES,2022-05-31,2.6726,592105263.0,16744737244.20642,5502320658.44623
AEFES,2022-06-30,2.5668,592105263.0,16081578852.73191,5284406811.007706
