date,symbol,close
2021-09-10,IWD,145.4511
2021-09-17,IWD,144.9333
2021-09-24,IWD,145.9635
2021-10-01,IWD,144.7583
2021-10-08,IWD,146.5934
2021-10-15,IWD,148.5564
2021-10-22,IWD,150.839
2021-10-29,IWD,150.2272
2021-11-05,IWD,152.2724
2021-11-12,IWD,152.4458
2021-11-19,IWD,149.6246
2021-11-26,IWD,147.826
2021-12-03,IWD,146.2009
2021-12-10,IWD,150.3459
2021-12-17,IWD,149.517
2021-12-24,IWD,151.8828
2021-12-31,IWD,153.9919
2022-01-07,IWD,155.2115
2022-01-14,IWD,155.4591
2022-01-21,IWD,148.3065
2022-01-28,IWD,148.6733
2022-02-04,IWD,151.0667
2022-02-11,IWD,150.2414
2022-02-18,IWD,148.0956
2022-02-25,IWD,149.3336
2022-03-04,IWD,148.6825
2022-03-11,IWD,145.363
2022-03-18,IWD,151.6719
2022-03-25,IWD,154.1532
2022-04-01,IWD,153.4625
2022-04-08,IWD,153.7664
2022-04-15,IWD,152.164
2022-04-22,IWD,149.1065
2022-04-29,IWD,144.0598
2022-05-06,IWD,145.1005
2022-05-13,IWD,142.3838
2022-05-20,IWD,139.796
2022-05-27,IWD,148.1672
2022-06-03,IWD,146.1227
2022-06-10,IWD,139.6445
2022-06-17,IWD,130.3699
2022-06-24,IWD,137.3327
2022-07-01,IWD,135.7239
2022-07-08,IWD,136.2324
2022-07-15,IWD,135.0396
2022-07-22,IWD,138.2759
2022-07-29,IWD,142.89
2022-08-05,IWD,142.5757
2022-08-12,IWD,148.1792
2022-08-19,IWD,146.4038
2022-08-26,IWD,141.8081
2022-09-02,IWD,137.8506
2022-09-09,IWD,142.9455
2022-09-16,IWD,136.8797
2022-09-23,IWD,129.7597
2022-09-30,IWD,126.5882
2022-10-07,IWD,129.2505
2022-10-14,IWD,128.4499
2022-10-21,IWD,133.3835
2022-10-28,IWD,140.0671
2022-11-04,IWD,138.4753
2022-11-11,IWD,144.8331
2022-11-18,IWD,144.0512
2022-11-25,IWD,146.8066
2022-12-02,IWD,147.8678
2022-12-09,IWD,142.9249
2022-12-16,IWD,140.6409
2022-12-23,IWD,141.8118
2022-12-30,IWD,142.0553
2023-01-06,IWD,145.5962
2023-01-13,IWD,148.4532
2023-01-20,IWD,146.1676
2023-01-27,IWD,148.7623
2023-02-03,IWD,150.0644
2023-02-10,IWD,148.5843
2023-02-17,IWD,148.2003
2023-02-24,IWD,144.5845
2023-03-03,IWD,146.8233
2023-03-10,IWD,138.7018
2023-03-17,IWD,136.4349
2023-03-24,IWD,137.8364
2023-03-31,IWD,143.3732
2023-04-07,IWD,143.5427
2023-04-14,IWD,145.3035
2023-04-21,IWD,145.134
2023-04-28,IWD,145.6049
2023-05-05,IWD,143.0625
2023-05-12,IWD,141.5841
